Ativo;Data;Hora;Abertura;Máximo;Mínimo;Fechamento;Volume;Quantidade
WINFUT;23/12/2024;17:20:00;122.550;122.630;122.530;122.575;2.776.043.345,00;113.232
WINFUT;23/12/2024;17:10:00;122.675;122.700;122.520;122.545;3.547.560.044,00;144.694
WINFUT;23/12/2024;17:00:00;122.810;122.820;122.665;122.675;3.622.002.501,00;147.577
WINFUT;23/12/2024;16:50:00;122.775;122.830;122.775;122.810;1.298.576.209,00;52.875
WINFUT;23/12/2024;16:40:00;122.765;122.840;122.725;122.780;2.685.753.279,00;109.368
WINFUT;23/12/2024;16:30:00;122.750;122.825;122.735;122.765;3.044.325.124,00;123.967
WINFUT;23/12/2024;16:20:00;122.670;122.750;122.630;122.750;2.367.461.384,00;96.481
WINFUT;23/12/2024;16:10:00;122.740;122.825;122.645;122.665;3.469.608.877,00;141.362
WINFUT;23/12/2024;16:00:00;122.820;122.865;122.690;122.740;3.669.688.072,00;149.457
WINFUT;23/12/2024;15:50:00;122.640;122.830;122.615;122.820;4.368.524.224,00;177.951
WINFUT;23/12/2024;15:40:00;122.570;122.670;122.490;122.645;3.168.167.987,00;129.231
WINFUT;23/12/2024;15:30:00;122.555;122.590;122.520;122.570;2.326.308.490,00;94.909
WINFUT;23/12/2024;15:20:00;122.510;122.610;122.475;122.555;2.859.439.819,00;116.681
WINFUT;23/12/2024;15:10:00;122.525;122.600;122.490;122.515;2.951.936.660,00;120.447
WINFUT;23/12/2024;15:00:00;122.625;122.630;122.500;122.530;2.735.475.926,00;111.598
WINFUT;23/12/2024;14:50:00;122.530;122.645;122.445;122.625;3.893.358.613,00;158.863
WINFUT;23/12/2024;14:40:00;122.705;122.720;122.490;122.530;3.493.175.372,00;142.482
WINFUT;23/12/2024;14:30:00;122.610;122.720;122.575;122.710;3.057.252.736,00;124.623
WINFUT;23/12/2024;14:20:00;122.630;122.680;122.600;122.610;2.610.126.491,00;106.411
WINFUT;23/12/2024;14:10:00;122.520;122.640;122.460;122.630;4.049.816.071,00;165.244
WINFUT;23/12/2024;14:00:00;122.710;122.720;122.520;122.520;3.772.497.976,00;153.823
WINFUT;23/12/2024;13:50:00;122.640;122.735;122.635;122.705;2.298.346.531,00;93.663
WINFUT;23/12/2024;13:40:00;122.595;122.695;122.555;122.640;3.478.229.164,00;141.806
